unit_dur,percentage,participant_id,mean_sig,std_sig,n_sig,n_trial
0.7,0.556,21,0.8571428571428571,0.37796447300922725,6,7
0.7,0.556,24,0.2,0.447213595499958,1,5
0.7,0.556,25,1.0,0.0,7,7
0.7,0.556,27,1.0,0.0,7,7
0.7,0.556,28,0.0,0.0,0,7
0.7,0.556,29,0.42857142857142855,0.5345224838248488,3,7
0.7,0.556,30,0.7142857142857143,0.4879500364742666,5,7
0.7,0.556,31,0.42857142857142855,0.5345224838248488,3,7
0.7,0.556,34,0.42857142857142855,0.5345224838248488,3,7
0.7,0.556,35,0.5714285714285714,0.5345224838248488,4,7
0.7,0.556,36,0.2857142857142857,0.48795003647426666,2,7
0.7,0.667,1,0.8,0.4472135954999579,4,5
0.7,0.667,3,0.8333333333333334,0.408248290463863,5,6
0.7,0.667,4,0.8571428571428571,0.37796447300922725,6,7
0.7,0.667,5,1.0,0.0,7,7
0.7,0.667,6,1.0,0.0,7,7
0.7,0.667,7,0.8571428571428571,0.37796447300922725,6,7
0.7,0.667,9,1.0,0.0,6,6
0.7,0.667,10,0.75,0.5,3,4
0.7,0.667,11,0.6,0.5477225575051661,3,5
0.7,0.667,12,0.7142857142857143,0.4879500364742666,5,7
0.7,0.667,13,1.0,0.0,7,7
0.7,0.667,14,0.5714285714285714,0.5345224838248488,4,7
0.7,0.667,15,1.0,0.0,7,7
0.7,0.667,17,0.7142857142857143,0.4879500364742666,5,7
0.7,0.667,18,0.6666666666666666,0.5163977794943222,4,6
0.7,0.667,20,1.0,0.0,6,6
0.7,0.667,21,0.6666666666666666,0.5163977794943223,4,6
0.7,0.667,24,0.3333333333333333,0.5773502691896258,1,3
0.7,0.667,25,1.0,0.0,7,7
0.7,0.667,27,1.0,0.0,5,5
0.7,0.667,28,0.16666666666666666,0.408248290463863,1,6
0.7,0.667,29,0.5,0.7071067811865476,1,2
0.7,0.667,30,0.8571428571428571,0.37796447300922725,6,7
0.7,0.667,31,0.6,0.5477225575051662,3,5
0.7,0.667,34,0.6666666666666666,0.5163977794943222,4,6
0.7,0.667,35,0.8,0.4472135954999579,4,5
0.7,0.667,36,0.6666666666666666,0.5163977794943222,4,6
0.7,0.778,1,1.0,0.0,5,5
0.7,0.778,3,1.0,0.0,6,6
0.7,0.778,4,1.0,0.0,7,7
0.7,0.778,5,1.0,0.0,5,5
0.7,0.778,6,1.0,0.0,6,6
0.7,0.778,7,1.0,0.0,6,6
0.7,0.778,9,1.0,0.0,7,7
0.7,0.778,10,0.75,0.5,3,4
0.7,0.778,11,0.8571428571428571,0.37796447300922725,6,7
0.7,0.778,12,1.0,0.0,7,7
0.7,0.778,13,1.0,0.0,7,7
0.7,0.778,14,1.0,0.0,7,7
0.7,0.778,15,1.0,0.0,6,6
0.7,0.778,17,0.7142857142857143,0.4879500364742666,5,7
0.7,0.778,18,0.8,0.4472135954999579,4,5
0.7,0.778,20,1.0,0.0,4,4
0.7,0.778,21,1.0,0.0,7,7
0.7,0.778,24,0.5,0.5773502691896257,2,4
0.7,0.778,25,0.8571428571428571,0.37796447300922725,6,7
0.7,0.778,27,1.0,0.0,6,6
0.7,0.778,28,0.5714285714285714,0.5345224838248488,4,7
0.7,0.778,29,1.0,0.0,4,4
0.7,0.778,30,1.0,0.0,6,6
0.7,0.778,31,0.7142857142857143,0.4879500364742666,5,7
0.7,0.778,34,1.0,0.0,7,7
0.7,0.778,35,0.8,0.4472135954999579,4,5
0.7,0.778,36,0.8333333333333334,0.408248290463863,5,6
0.7,0.889,1,1.0,0.0,5,5
0.7,0.889,3,1.0,0.0,5,5
0.7,0.889,4,1.0,0.0,7,7
0.7,0.889,5,1.0,0.0,6,6
0.7,0.889,6,1.0,0.0,6,6
0.7,0.889,7,0.8571428571428571,0.37796447300922725,6,7
0.7,0.889,9,1.0,0.0,7,7
0.7,0.889,10,1.0,0.0,6,6
0.7,0.889,11,1.0,0.0,6,6
0.7,0.889,12,0.8,0.4472135954999579,4,5
0.7,0.889,13,1.0,0.0,7,7
