participant_id,percentage,unitdur,correct,sum_correct,median_ncycle,median_rt
4,0.0,1.0,1,63,6.240060091018677,6.240060091018677
4,0.111,0.4,0,0,16.98124498128891,6.792497992515564
4,0.111,0.4,1,7,6.6250526905059814,2.6500210762023926
4,0.111,0.7,0,0,10.869991438729423,7.608994007110596
4,0.111,0.7,1,6,3.3864593505859375,2.3705215454101562
4,0.111,1.0,0,0,6.690982103347778,6.690982103347778
4,0.111,1.0,1,5,5.3150060176849365,5.3150060176849365
4,0.222,0.4,0,0,16.76252007484436,6.705008029937744
4,0.222,0.4,1,10,10.956355333328247,4.382542133331299
4,0.222,0.7,0,0,11.639983654022217,8.147988557815552
4,0.222,0.7,1,6,3.0907143865312845,2.1635000705718994
4,0.222,1.0,0,0,6.404067039489746,6.404067039489746
4,0.222,1.0,1,7,3.306025981903076,3.306025981903076
4,0.333,0.4,0,0,19.862515330314636,7.9450061321258545
4,0.333,0.4,1,13,5.8975523710250854,2.359020948410034
4,0.333,0.7,0,0,8.79998735019139,6.159991145133972
4,0.333,0.7,1,9,3.1899656568254744,2.232975959777832
4,0.333,1.0,0,0,5.987019658088684,5.987019658088684
4,0.333,1.0,1,8,3.5275410413742065,3.5275410413742065
4,0.444,0.4,1,14,4.651173949241638,1.8604695796966555
4,0.444,0.7,0,0,8.40291840689523,5.88204288482666
4,0.444,0.7,1,13,6.620171410696847,4.634119987487793
4,0.444,1.0,0,0,7.11603307723999,7.11603307723999
4,0.444,1.0,1,8,2.604003429412842,2.604003429412842
4,0.556,0.4,1,14,3.836294710636139,1.5345178842544556
4,0.556,0.7,0,0,13.51146289280483,9.45802402496338
4,0.556,0.7,1,13,3.250112874167306,2.2750790119171143
4,0.556,1.0,0,0,4.205944061279297,4.205944061279297
4,0.556,1.0,1,13,3.288003921508789,3.288003921508789
4,0.667,0.4,1,14,3.7162914872169495,1.4865165948867798
4,0.667,0.7,1,14,2.9857349395751953,2.0900144577026367
4,0.667,1.0,0,0,8.616038084030151,8.616038084030151
4,0.667,1.0,1,13,2.6679999828338623,2.6679999828338623
4,0.778,0.4,1,14,3.3050709962844844,1.322028398513794
4,0.778,0.7,1,14,3.1792521476745605,2.2254765033721924
4,0.778,1.0,1,14,2.8679884672164917,2.8679884672164917
4,0.889,0.4,1,14,3.511241376399994,1.4044965505599976
4,0.889,0.7,1,13,2.6714757510593956,1.8700330257415767
4,0.889,1.0,1,14,2.3475165367126465,2.3475165367126465
4,1.0,0.4,1,14,3.2199326157569885,1.2879730463027954
4,1.0,0.7,1,14,2.604360069547381,1.8230520486831665
4,1.0,1.0,1,14,2.27299702167511,2.27299702167511
5,0.0,0.4,0,0,11.59595251083374,4.638381004333496
5,0.0,0.4,1,123,9.2273622751236,3.69094491004944
5,0.0,0.7,0,0,7.028589929853167,4.920012950897217
5,0.0,0.7,1,125,5.535641397748674,3.874948978424072
5,0.0,1.0,0,0,9.090993404388428,9.090993404388428
5,0.0,1.0,1,123,3.656025886535645,3.656025886535645
5,0.111,0.4,0,0,9.541096687316895,3.816438674926758
5,0.111,0.7,0,0,6.005730799266271,4.204011559486389
5,0.111,1.0,0,0,4.446017026901245,4.446017026901245
5,0.111,1.0,1,1,6.074985980987549,6.074985980987549
5,0.222,0.4,0,0,9.022569060325623,3.609027624130249
5,0.222,0.7,0,0,8.16847630909511,5.717933416366577
5,0.222,1.0,0,0,4.278124094009399,4.278124094009399
5,0.222,1.0,1,1,4.542001008987427,4.542001008987427
5,0.333,0.4,0,0,11.111223995685577,4.444489598274231
5,0.333,0.4,1,8,21.400164663791656,8.560065865516663
5,0.333,0.7,0,0,5.419965641839164,3.7939759492874146
5,0.333,0.7,1,2,10.307257856641497,7.215080499649048
5,0.333,1.0,0,0,3.938018083572388,3.938018083572388
5,0.444,0.4,0,0,9.432820081710815,3.773128032684326
5,0.444,0.4,1,8,13.186304867267609,5.2745219469070435
5,0.444,0.7,0,0,4.945024933133807,3.4615174531936646
5,0.444,0.7,1,2,13.584352220807759,9.50904655456543
5,0.444,1.0,0,0,3.557977199554444,3.557977199554444
