unitdur,percentage,participant_id,mean_yes,std_yes,sum_yes,n_trial
0.7,0.111,1,0.14285714285714285,0.36313651960128146,2,14
0.7,0.111,3,0.42857142857142855,0.5135525910130955,6,14
0.7,0.111,4,0.46153846153846156,0.5188745216627708,6,13
0.7,0.111,5,0.0,0.0,0,14
0.7,0.111,6,0.07142857142857142,0.2672612419124244,1,14
0.7,0.111,7,0.07142857142857142,0.26726124191242434,1,14
0.7,0.111,9,0.14285714285714285,0.36313651960128146,2,14
0.7,0.111,10,0.0,0.0,0,14
0.7,0.111,11,0.35714285714285715,0.4972451580988469,5,14
0.7,0.111,12,0.0,0.0,0,14
0.7,0.111,13,0.0,0.0,0,14
0.7,0.111,14,0.0,0.0,0,13
0.7,0.111,15,0.15384615384615385,0.37553380809940534,2,13
0.7,0.111,17,0.07142857142857142,0.2672612419124244,1,14
0.7,0.111,18,0.25,0.4522670168666455,3,12
0.7,0.111,20,0.07142857142857142,0.2672612419124244,1,14
0.7,0.111,21,0.5,0.5188745216627708,7,14
0.7,0.111,24,0.0,0.0,0,11
0.7,0.111,25,0.0,0.0,0,14
0.7,0.111,27,0.42857142857142855,0.5135525910130955,6,14
0.7,0.111,28,0.0,0.0,0,14
0.7,0.111,29,0.15384615384615385,0.37553380809940534,2,13
0.7,0.111,30,0.14285714285714285,0.36313651960128146,2,14
0.7,0.111,31,0.07142857142857142,0.2672612419124244,1,14
0.7,0.111,34,0.0,0.0,0,14
0.7,0.111,35,0.42857142857142855,0.5135525910130955,6,14
0.7,0.111,36,0.35714285714285715,0.4972451580988469,5,14
0.7,0.222,1,0.0,0.0,0,14
0.7,0.222,3,0.21428571428571427,0.4258153136263201,3,14
0.7,0.222,4,0.42857142857142855,0.5135525910130955,6,14
0.7,0.222,5,0.0,0.0,0,14
0.7,0.222,6,0.23076923076923078,0.4385290096535146,3,13
0.7,0.222,7,0.07142857142857142,0.2672612419124244,1,14
0.7,0.222,9,0.21428571428571427,0.42581531362632014,3,14
0.7,0.222,10,0.0,0.0,0,14
0.7,0.222,11,0.21428571428571427,0.4258153136263201,3,14
0.7,0.222,12,0.0,0.0,0,13
0.7,0.222,13,0.21428571428571427,0.4258153136263201,3,14
0.7,0.222,14,0.0,0.0,0,12
0.7,0.222,15,0.1111111111111111,0.3333333333333333,1,9
0.7,0.222,17,0.0,0.0,0,14
0.7,0.222,18,0.3333333333333333,0.49236596391733095,4,12
0.7,0.222,20,0.21428571428571427,0.4258153136263201,3,14
0.7,0.222,21,0.6923076923076923,0.4803844614152614,9,13
0.7,0.222,24,0.0,0.0,0,14
0.7,0.222,25,0.14285714285714285,0.36313651960128146,2,14
0.7,0.222,27,0.2857142857142857,0.4688072309384954,4,14
0.7,0.222,28,0.07142857142857142,0.26726124191242434,1,14
0.7,0.222,29,0.08333333333333333,0.2886751345948129,1,12
0.7,0.222,30,0.35714285714285715,0.4972451580988469,5,14
0.7,0.222,31,0.14285714285714285,0.36313651960128146,2,14
0.7,0.222,34,0.0,0.0,0,14
0.7,0.222,35,0.5,0.5188745216627708,7,14
0.7,0.222,36,0.2857142857142857,0.4688072309384954,4,14
0.7,0.333,1,0.2857142857142857,0.4688072309384954,4,14
0.7,0.333,3,0.42857142857142855,0.5135525910130955,6,14
0.7,0.333,4,0.6923076923076923,0.48038446141526137,9,13
0.7,0.333,5,0.14285714285714285,0.36313651960128146,2,14
0.7,0.333,6,0.3333333333333333,0.4923659639173309,4,12
